Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone
2003,SGP,5272,5257.0,0.0,15.0,5.178416077067324,5.178416077067324,0.0,5.231622455845065
2004,SGP,3748,3726.0,0.0,22.0,5.633898368771428,5.633898368771428,0.0,5.669425195572585
2005,SGP,3202,3187.0,2.0,13.0,5.638027078868855,5.6390514676030055,-0.0010243887341492397,5.753622074145815
2006,SGP,5502,5474.0,6.0,22.0,5.865592585226411,5.868297031773582,-0.0027044465471718704,5.786741707084935
2007,SGP,9927,9896.0,6.0,25.0,5.853912592106661,5.856663997516869,-0.0027514054102078743,5.846893867005662
2008,SGP,12120,12065.0,6.0,49.0,5.70739658697879,5.709292194528404,-0.0018956075496117267,5.729746352743409
2009,SGP,22541,22443.0,0.0,98.0,5.878210413710067,5.878210413710067,0.0,5.707108734733341
2010,SGP,20164,20074.0,0.0,90.0,5.772409982982339,5.772409982982339,0.0,4.871157270426638
2011,SGP,26774,26643.0,0.0,131.0,5.92857096370192,5.92857096370192,0.0,5.595366952020766
2012,SGP,28202,27978.0,0.0,224.0,5.582428334557851,5.582428334557851,0.0,5.260111925841692
2013,SGP,28208,27297.0,0.0,911.0,2.737989374300253,2.737989374300253,0.0,2.643139836447637
2014,SGP,35281,33871.0,376.0,1034.0,2.6735993697121323,2.7066552242780166,-0.033055854565879485,2.4659862758118156
2015,SGP,57780,32926.0,23397.0,1457.0,0.17188042760716113,1.4243174869427155,-1.2524370593355514,-0.36153438302698826
2016,SGP,62403,30123.0,30701.0,1579.0,-0.49576667569452443,1.16683462220696,-1.6626012979014957,-1.3306469713742815
2017,SGP,49594,24704.0,23702.0,1188.0,-0.40074776588421973,1.2385892104031657,-1.6393369762873822,-1.3587656796231369
2003,PHL,19118,19031.0,0.0,87.0,4.852492065996485,4.852492065996485,0.0,4.893425700475632
2004,PHL,12246,12186.0,0.0,60.0,5.060205877131674,5.060205877131674,0.0,5.097151696309471
2005,PHL,7930,7868.0,12.0,50.0,4.772405408723161,4.780422825815274,-0.008017417092113111,4.811349695095536
2006,PHL,10869,10822.0,10.0,37.0,4.836441760410567,4.838798773692224,-0.0023570132816562914,4.73327649516789
2007,PHL,32605,32492.0,7.0,106.0,4.9290076009542,4.929833232084964,-0.0008256311307655258,4.864276121918123
2008,PHL,51939,51766.0,7.0,166.0,4.714225176828836,4.714492620878274,-0.0002674440494388122,4.6980049781732705
2009,PHL,118034,117737.0,0.0,297.0,4.9791485495957,4.9791485495957,0.0,4.831268652072544
2010,PHL,85205,84919.0,0.0,286.0,5.149550306121639,5.149550306121639,0.0,4.929030375488274
2011,PHL,108795,108281.0,0.0,514.0,5.200892617453525,5.200892617453525,0.0,4.958092403617673
2012,PHL,113163,112397.0,0.0,766.0,4.945432218545916,4.945432218545916,0.0,4.686273455103323
2013,PHL,101662,99705.0,0.0,1957.0,2.651794694581874,2.651794694581874,0.0,2.5614645572332746
2014,PHL,102437,99310.0,1169.0,1958.0,2.615714036576668,2.6536852316028225,-0.037971195026160066,2.486849551076328
2015,PHL,140968,59914.0,78204.0,2850.0,-0.930950777480518,1.0329910144104288,-1.9639417918909134,-1.3017876532722956
2016,PHL,179471,53686.0,122415.0,3370.0,-1.9097412789214898,0.6548590626980342,-2.564600341619456,-2.548711243044277
2017,PHL,162792,46533.0,113467.0,2792.0,-2.2552874629600073,0.664633595529969,-2.9199210584899857,-3.0562757406128727
2003,MMR,7227,7225.0,0.0,2.0,6.09385855593652,6.09385855593652,0.0,6.243516370730903
2004,MMR,4581,4580.0,0.0,1.0,5.733487898539841,5.733487898539841,0.0,5.772846830558128
2005,MMR,3146,3137.0,3.0,6.0,5.356177951274109,5.360748226975377,-0.004570275701267842,5.362774406999695
2006,MMR,4084,4075.0,5.0,4.0,5.580182134776977,5.585979040693471,-0.005796905916493977,5.801015932257821
2007,MMR,17279,17235.0,6.0,38.0,5.320159798623475,5.321671276944418,-0.001511478320943484,5.218857211244816
2008,MMR,16358,16321.0,2.0,35.0,6.020785111964046,6.021199366013337,-0.00041425404929066386,6.163540471898625
2009,MMR,31366,31326.0,0.0,40.0,5.258661233342629,5.258661233342629,0.0,5.2027013847816725
2010,MMR,19996,19963.0,0.0,33.0,6.065242570641177,6.065242570641177,0.0,6.341489063818756
2011,MMR,24054,24007.0,0.0,47.0,5.894682062925157,5.894682062925157,0.0,5.937702574983274
2012,MMR,44377,44086.0,0.0,291.0,5.630262848458561,5.630262848458561,0.0,5.566930327275817
2013,MMR,18308,17963.0,0.0,345.0,2.4889834675293834,2.4889834675293834,0.0,2.34096302957136
2014,MMR,15282,14803.0,159.0,320.0,2.3862846002941365,2.43230026295992,-0.04601566266578263,2.3891369215007257
2015,MMR,25760,9118.0,16139.0,503.0,-1.7906047562402059,0.7234305767778949,-2.514035333018104,-1.83554412412365
2016,MMR,22970,7226.0,15242.0,502.0,-1.8933793790207614,0.6333635069955611,-2.5267428860163297,-2.3847777515717516
2017,MMR,28100,5291.0,22468.0,341.0,-3.178805603029758,0.4026655390301317,-3.581471142059896,-4.0291481092095
