,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone,GDP growth,Inflation,FDI,CAB,Unemployment
57,2015,LAO,5858,3369,2337,152,0.444462154844209,1.7547580939371001,-1.3102959390928899,-0.31581542125335,7.26959177501747,2.3485852928352795,9.8758082421636,-15.822658021384498,
58,2016,LAO,14013,5763,7938,312,-0.6428398128736751,1.0957284848619901,-1.73856829773567,-1.8393215306104898,7.023091874104152,3.02252101954741,6.31062792040529,-7.805401545135349,
59,2017,LAO,6849,3848,2874,127,0.489166645494436,1.87626875887181,-1.3871021133773798,-0.518105717781555,6.892747966310179,1.8517957687056696,4.82422215141848,,9.4060001373291
60,2003,MMR,7227,7225,0,2,6.09385855593652,6.09385855593652,0.0,6.243516370730901,13.843996890138099,20.4965394082855,2.3777576671811,-0.182395916009129,
61,2004,MMR,4581,4580,0,1,5.73348789853984,5.73348789853984,0.0,5.772846830558129,13.564661616294199,3.60112807915908,2.0001628964787,1.0434016828298298,
62,2005,MMR,3146,3137,3,6,5.35617795127411,5.36074822697538,-0.004570275701268,5.3627744069997,13.5689500216101,19.1635299039187,1.95966396539679,4.85379033880321,
63,2006,MMR,4084,4075,5,4,5.58018213477698,5.58597904069347,-0.005796905916494001,5.801015932257821,13.076101379581,21.3004988062924,1.9018212828574896,5.474106878108151,
64,2007,MMR,17279,17235,6,38,5.3201597986234805,5.32167127694442,-0.001511478320943,5.218857211244821,11.991435240049901,23.643908118402,3.5175166973129,6.84128559608505,
65,2008,MMR,16358,16321,2,35,6.02078511196405,6.02119936601334,-0.00041425404929099996,6.16354047189863,10.255305393015501,13.6186579472663,2.711271810003109,3.9137746052700098,
66,2009,MMR,31366,31326,0,40,5.25866123334263,5.25866123334263,0.0,5.20270138478167,10.5500090961785,4.87859924628746,2.92355415980151,2.67166530648619,
67,2010,MMR,19996,19963,0,33,6.06524257064118,6.06524257064118,0.0,6.34148906381876,9.63443945214466,7.04321189356271,1.8189720234246496,3.1774947584785496,
68,2011,MMR,24054,24007,0,47,5.89468206292516,5.89468206292516,0.0,5.937702574983269,5.5914823781961,10.254576668267,4.20127651183029,-2.60285417206877,
