,Year,Country,Total News,Total Neg_AvgTone,Total Pos_AvgTone,Total Netral AvgTone,AvgTone,AvgTone2,Pos_AvgTone,Weighted AvgTone,GDP growth,Inflation,FDI,CAB,TaxRev,Unemployment,GDP Capita,Export,Import,AvgTone_Norm
32,2005,PHL,7930,7868.0,12.0,50.0,4.772405408723161,4.802687168930795,4.81809265489516,4.811349695095536,4.77766781940045,5.82800968788347,1.61441200929476,1.93107825886334,12.4272827280376,3.79520010948181,2.83968099308056,4.95241351303679,3.25596888218158,-0.2515913926648343
33,2006,PHL,10869,10822.0,10.0,37.0,4.836441760410566,4.8529621024651455,4.859813700911179,4.73327649516789,5.24296035576116,4.94902410637846,2.21536627763805,5.69741991666504,13.7118708819138,4.05229997634888,3.4029857812240203,12.5975982372119,3.4746732911231804,-0.44853262334147725
34,2007,PHL,32605,32492.0,7.0,106.0,4.9290076009542,4.945084243487852,4.946978103290972,4.864276121918123,6.61666228456504,3.09033098652421,1.95415535734943,5.404357937666,13.5348865442799,3.43420004844666,4.84467760109801,6.74773603831851,1.7223988533143602,-0.31280725019650113
35,2008,PHL,51939,51766.0,7.0,166.0,4.714225176828836,4.7293404179652105,4.730248275621,4.698004978173271,4.1527568434561495,7.54906208822888,0.7692680702964759,0.08267794938937599,13.5893944216829,3.71989989280701,2.47903174389437,-2.67556969531373,1.60035048710958,-0.42836721771353137
36,2009,PHL,118034,117737.0,0.0,297.0,4.9791485495957,4.991708807791763,4.991708807791763,4.831268652072544,1.14833221939689,2.77324521536318,1.2264980950498,5.018675290759781,12.2299087471226,3.85809993743896,-0.462890953343376,-7.83204850597497,-8.096028104954929,-0.2848969650706188
37,2010,PHL,85205,84919.0,0.0,286.0,5.149550306121639,5.1668935554245135,5.1668935554245135,4.929030375488273,7.63226478049033,4.22238717219361,0.536290787439322,3.59694026956257,12.146992063353,3.60509991645813,5.90312168736131,20.9707017859427,22.521059632006306,-0.09002689003900866
38,2011,PHL,108795,108281.0,0.0,514.0,5.200892617453525,5.225580778861078,5.225580778861078,4.958092403617673,3.6597516012354,4.02172300099879,0.8954774299528109,2.51746678446,12.3815401543326,3.5922000408172594,1.97196289363927,-2.53506090279821,-0.558894746661124,-0.12179139590929111
39,2012,PHL,113163,112397.0,0.0,766.0,4.945432218545916,4.979135974690708,4.979135974690708,4.686273455103324,6.68381888148204,1.96838419449099,1.28569244908673,2.77876864718588,12.8879512613886,3.50419998168945,4.934106153496192,8.57890898491192,5.589625223125942,-0.09785448495813043
40,2013,PHL,101662,99705.0,0.0,1957.0,2.651794694581874,2.7038438617981293,2.7038438617981293,2.5614645572332746,7.06402426381545,2.04546754429667,1.37486206345121,4.1876364438331,13.309510901428304,3.49729990959167,5.30893410461341,-0.9705824365073572,4.42400852375071,0.10309492486371497
41,2014,PHL,102437,99310.0,1169.0,1958.0,2.615714036576668,2.666685563797452,2.7372425140438854,2.486849551076328,6.1452987858692,3.1574375194432798,2.01682578014622,3.77952101302328,13.6054423265534,3.59990000724792,4.4262109074167,12.6267637765699,9.91390008330843,0.25608254992908863
